forecast_date,target_month,model,yhat,pi_low,pi_high,is_oos
2024-06-01,2024-06-01,sarima,211.66415578558357,193.12800783698165,230.2003037341855,1
2024-07-01,2024-07-01,sarima,232.63914574245135,214.04547300832525,251.23281847657745,1
2024-08-01,2024-08-01,sarima,239.65216943777014,221.0865892406334,258.2177496349069,1
2024-09-01,2024-09-01,sarima,243.47711032992953,224.94367101544225,262.0105496444168,1
2024-10-01,2024-10-01,sarima,259.8229880332225,241.2625976801026,278.3833783863424,1
2024-11-01,2024-11-01,sarima,252.62080427728804,234.07434786571517,271.1672606888609,1
2024-12-01,2024-12-01,sarima,280.782672474002,262.04240070730845,299.5229442406956,1
2025-01-01,2025-01-01,sarima,332.096513768322,312.84109553210226,351.3519320045417,1
2025-02-01,2025-02-01,sarima,345.61285479284254,326.38491760667745,364.84079197900763,1
2025-03-01,2025-03-01,sarima,415.131888029313,395.1317524525464,435.13202360607966,1
2025-04-01,2025-04-01,sarima,395.5195382132218,375.35115332531075,415.6879231011328,1
2025-05-01,2025-05-01,sarima,377.903031295997,357.62508952518726,398.1809730668067,1
2025-06-01,2025-06-01,sarima,370.4932706351123,350.237841117428,390.74870015279663,1
2025-07-01,2025-07-01,sarima,324.46535050108673,303.80328690265833,345.12741409951514,1
2025-08-01,2025-08-01,sarima,282.8430109113579,261.9559081540925,303.7301136686233,1
2025-09-01,2025-09-01,sarima,334.67965103660447,313.0647033626587,356.29459871055025,1
2025-10-01,2025-10-01,sarima,391.12621244032607,369.0137272364837,413.23869764416844,1
2025-11-01,2025-11-01,sarima,395.4405149735697,373.3650010187566,417.5160289283828,1
2025-12-01,2025-12-01,sarima,376.58986592172135,354.5009035412132,398.67882830222953,1
2026-01-01,2026-01-01,sarima,354.34980102775666,332.2221967036603,376.477405351853,1
2024-01-01,2024-01-01,sarimax,195.19246908599115,176.86137331044668,213.52356486153562,1
2024-02-01,2024-02-01,sarimax,184.59170940295996,166.3034575330762,202.87996127284373,1
2024-03-01,2024-03-01,sarimax,186.78604052956968,168.52965664412173,205.04242441501762,1
2024-04-01,2024-04-01,sarimax,182.9692244755184,164.74785578819493,201.19059316284185,1
2024-05-01,2024-05-01,sarimax,225.63259153201545,207.02441704372794,244.24076602030297,1
2024-06-01,2024-06-01,sarimax,209.41213610086615,190.74810268638927,228.07616951534303,1
2024-07-01,2024-07-01,sarimax,233.18347922346987,214.3963818942065,251.97057655273323,1
2024-08-01,2024-08-01,sarimax,239.21178670461666,220.45580478342197,257.96776862581135,1
2024-09-01,2024-09-01,sarimax,245.14786236170772,226.42337434470767,263.8723503787078,1
2024-10-01,2024-10-01,sarimax,257.0233017180773,238.2839427010222,275.76266073513233,1
2024-11-01,2024-11-01,sarimax,249.40293530126257,230.68805942987754,268.1178111726476,1
2024-12-01,2024-12-01,sarimax,281.3093612968601,262.3654114973705,300.25331109634976,1
2025-01-01,2025-01-01,sarimax,338.86560042044505,319.447386507818,358.2838143330721,1
2025-02-01,2025-02-01,sarimax,340.5252280451604,321.11099048241215,359.9394656079087,1
2025-03-01,2025-03-01,sarimax,410.33580163550755,389.93167118834225,430.73993208267285,1
2025-04-01,2025-04-01,sarimax,387.3678935772225,366.8291580502617,407.9066291041833,1
